,20-period CMF
0,
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,-0.19801429078488922
20,-0.15615645474882828
21,-0.23481173478827347
22,-0.19572640061211533
23,-0.23820464451756607
24,-0.27610289738295285
25,-0.2376010473721717
26,-0.20938936336860428
27,-0.2652142779853779
28,-0.23305601621940894
29,-0.22439358857101646
30,-0.21625689304459367
31,-0.27493558299493775
32,-0.27107424574753264
33,-0.25940097649952015
34,-0.2916707595976669
35,-0.2560341780352121
36,-0.2272771946797871
37,-0.2370742623985274
38,-0.16918091339240016
39,-0.23942429309359278
40,-0.25127787858406914
41,-0.1978375949477602
42,-0.2344015168909266
43,-0.21082712766312747
44,-0.17732597111272838
45,-0.1404210478834064
46,-0.12215739214423561
47,-0.1452678183595812
48,-0.20540290583102896
49,-0.21279349019919575
50,-0.19818425736324682
51,-0.1515523387365767
52,-0.0977648116486377
53,-0.10284711747379796
54,-0.07121531199864567
55,-0.08489635740503372
56,-0.05999319282010047
57,-0.05165246703394893
58,-0.04714682837004557
59,-0.022256473390305037
60,0.023911929653754455
61,-0.04004620700132994
62,-0.001664542606219799
63,0.0158614765718934
64,-0.048632423969809935
65,-0.08785086093889066
66,-0.07649320613643452
67,-0.1365661253356227
68,-0.16634606057596288
69,-0.15691346278812382
70,-0.18648856247050302
71,-0.22111885648673496
72,-0.2555868207072644
73,-0.2577864681014062
74,-0.2636764093173132
75,-0.30941217501141455
76,-0.3502346104001747
77,-0.3246210272814518
78,-0.346376179147087
79,-0.34242588290952436
80,-0.3384441759807023
81,-0.2944830672527263
82,-0.30516462798300403
83,-0.32576174052494056
84,-0.27845609845790453
85,-0.28963986830328897
86,-0.3045492622984211
87,-0.255417421087474
88,-0.184587933340984
89,-0.2525750538295128
90,-0.23657459688227528
91,-0.19068507229616316
92,-0.18468739235439938
93,-0.1253066388032572
94,-0.16168515939547035
95,-0.06041538725065473
96,-0.08716425734803432
97,-0.12520302732258193
98,-0.06817958743083144
99,-0.12249302841835531
100,-0.17534428964503687
101,-0.1706863889690848
102,-0.16875443686171043
103,-0.1564273837993007
104,-0.11093772669247252
105,-0.12499302337777685
106,-0.16764847599325836
107,-0.1749777131238654
108,-0.19394405603553364
109,-0.15075663851775362
110,-0.1570942481834256
111,-0.20326480957560833
112,-0.21329044673268188
113,-0.22010178985251114
114,-0.24814485128979663
115,-0.3459074478007065
116,-0.26612483992081143
117,-0.24122028183328698
118,-0.281929091023243
119,-0.20805434999286612
120,-0.1998213976603313
121,-0.1747598744790484
122,-0.14978546409351434
123,-0.11143788857535736
124,-0.2140875453378217
125,-0.2369892292951979
126,-0.1751906539142043
127,-0.13532265519753245
128,-0.10162187707846963
129,-0.09349931346850646
130,-0.06249975555403964
131,-0.047415371266056626
132,-0.035306788394911456
133,-0.005458331330782421
