,0_caller,1_caller,2_caller,3_caller,0_other,1_other,2_other,3_other
sheet1,0.004089999999999927,long,Take Profit,2019.03.27,,,,
sheet2,0.000280000000000058,short,Take Profit,2019.03.22,-0.0016399999999998638,short,Stop Loss,2019.03.27
sheet3,0.003850000000000131,long,Take Profit,2019.04.04,-0.0021199999999998997,long,Stop Loss,2019.08.05
sheet4,0.0003500000000000725,short,Take Profit,2019.05.17,-0.0011700000000001154,short,Stop Loss,2019.08.30
sheet5,0.00021000000000004349,long,Take Profit,2019.08.30,-0.00020999999999982144,long,Stop Loss,2019.05.15
sheet6,0.0011299999999998533,short,Take Profit,2019.06.07,-0.0025900000000000922,short,Stop Loss,2019.08.29
sheet7,0.0018000000000000238,long,Take Profit,2019.08.29,-0.0024999999999999467,long,Stop Loss,2019.06.07
sheet8,0.0011200000000000099,long,Take Profit,2019.05.29,-0.002769999999999939,long,Stop Loss,2019.06.07
sheet9,0.0014400000000001079,long,Take Profit,2019.08.30,-0.003989999999999938,long,Stop Loss,2019.06.05
sheet10,0.0010699999999999044,short,Take Profit,2019.06.25,-0.0019000000000000128,short,Stop Loss,2019.08.22
sheet11,0.0003500000000000725,long,Take Profit,2019.06.14,-0.00266999999999995,long,Stop Loss,2019.06.26
sheet12,0.0025600000000001177,short,Take Profit,2019.06.26,-0.0021199999999998997,short,Stop Loss,2019.08.22
sheet13,0.00042000000000008697,long,Take Profit,2019.08.19,-0.0016499999999999293,long,Stop Loss,2019.07.17
sheet14,0.0005299999999999194,short,Take Profit,2019.07.17,-0.00034000000000000696,short,Stop Loss,2019.08.16
sheet15,0.00275000000000003,long,Take Profit,2019.08.07,,,,
sheet16,0.0009900000000000464,long,Take Profit,2019.08.07,-0.0021799999999998487,long,Stop Loss,2019.08.05
sheet18,0.0005399999999999849,short,Take Profit,2019.08.05,-0.0013400000000001189,short,Stop Loss,2019.08.07
sheet19,0.00254999999999983,long,Take Profit,2019.08.21,,,,
sheet20,0.0005599999999998939,long,Take Profit,2019.08.21,,,,
sheet21,0.0009600000000000719,long,Take Profit,2019.08.28,,,,
sheet22,0.005509999999999904,long,Take Profit,2019.09.13,,,,
sheet23,0.005449999999999955,long,Take Profit,2019.09.13,,,,
sheet24,0.0013300000000000534,short,Take Profit,2019.10.08,-0.000260000000000149,short,Stop Loss,2019.11.08
sheet25,0.000700000000000145,short,Take Profit,2019.10.23,-0.00041000000000002146,short,Stop Loss,2019.11.07
sheet27,0.00048000000000003595,long,Take Profit,2019.11.05,-0.0010200000000000209,long,Stop Loss,2019.10.23
sheet29,0.0013000000000000789,long,Take Profit,2019.11.07,,,,
